Rating,MRP,Processor,Display,OS,Brand,RAMSize,RAMType,Storage_HDD,Storage_SSD
4.5,73490.0,Ryzen 7 Octa Core Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.4,52990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,ASUS,8,DDR4 ,1000,256
4.2,41890.0,Intel Core i3 Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.2,30428.0,Intel Pentium Silver Processor,39.62,Windows,DELL,8,DDR4 ,0,256
4.1,34990.0,Intel Core i3 Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.7,88990.0,M1 Processor,33.78,Mac,APPLE,8,DDR4 ,0,256
4.4,65990.0,Intel Core i7 Processor,39.62,Windows,MSI,8,DDR4 ,0,512
4.1,33490.0,Intel Core i3 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.1,60990.0,Intel Core i5 Processor,35.56,Windows,HP,16,DDR4 ,0,512
4.3,59990.0,Ryzen 7 Octa Core Processor,39.62,Windows,ASUS,16,DDR4 ,0,512
4.2,114990.0,Intel Core i7 Processor,39.62,Windows,MSI,16,DDR4 ,0,1000
4.3,119990.0,Intel Core i7 Processor,40.64,Windows,ASUS,16,DDR4 ,0,1000
4.3,42990.0,Intel Core i5 Processor,39.62,Windows,INFINIX,8,LPDDR4X ,0,512
4.6,89990.0,Intel Core i5 Processor,39.62,Windows,ASUS,16,LPDDR5 ,0,512
4.5,79990.0,Ryzen 7 Octa Core Processor,39.62,Windows,MSI,8,DDR4 ,0,512
4.8,70990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,0,1000
4.3,33900.0,Intel Core i3 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,256
4.8,52990.0,Intel Core i7 Processor,39.62,Windows,INFINIX,16,LPDDR4X ,0,512
4.7,124990.0,M1 Processor,33.78,Mac,APPLE,16,DDR4 ,0,512
4.2,31990.0,Intel Core i3 Processor,39.62,Windows,REDMIBOOK,8,DDR4 ,0,256
4.3,66990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,ACER,16,DDR4 ,0,512
5.0,89081.0,Ryzen 7 Octa Core Processor,39.62,Windows,DELL,16,DDR4 ,0,512
4.7,104990.0,M1 Processor,33.78,Mac,APPLE,8,DDR4 ,0,512
4.2,53490.0,Intel Core i5 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.5,45990.0,Intel Core i3 Processor,35.56,Windows,ASUS,8,LPDDR4X ,0,256
4.5,45990.0,Intel Core i3 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.4,51990.0,Intel Core i5 Processor,39.62,Windows,MSI,8,DDR4 ,0,512
4.3,75990.0,Ryzen 7 Octa Core Processor,39.62,Windows,HP,16,DDR4 ,0,512
4.2,36990.0,Intel Core i3 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,256
3.7,78800.0,Intel Core i5 Processor,35.56,Windows,HP,16,DDR4 ,0,512
4.2,29390.0,Athlon Dual Core Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.3,30990.0,Intel Core i3 Processor,35.56,Windows,INFINIX,8,LPDDR4X ,0,256
4.1,62490.0,Intel Core i5 Processor,39.62,Windows,LENOVO,16,DDR4 ,0,512
3.8,89990.0,Intel Core i7 Processor,35.56,Windows,ASUS,16,DDR4 ,0,512
4.1,58899.0,Intel Core i5 Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.5,85990.0,Intel Core i5 Processor,39.62,Windows,MSI,16,DDR4 ,0,512
4.3,63490.0,Intel Core i5 Processor,39.62,Windows,LENOVO,8,DDR4 ,1000,256
4.2,38990.0,Ryzen 5 Quad Core Processor,35.56,Windows,ASUS,8,DDR4 ,0,512
4.3,67990.0,Intel Core i5 Processor,40.89,Windows,HP,8,DDR4 ,0,512
4.2,39790.0,Intel Core i3 Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.8,241990.0,M1 Pro Processor,41.15,Mac,APPLE,16,Unified Memory ,0,1000
4.6,104990.0,M1 Processor,33.78,Mac,APPLE,8,DDR4 ,0,512
4.1,42190.0,Ryzen 3 Dual Core Processor,35.56,Windows,DELL,8,DDR4 ,0,512
4.2,39990.0,Intel Core i3 Processor,35.56,Windows,ASUS,8,DDR4 ,0,512
4.5,99990.0,Intel Core i7 Processor,39.62,Windows,ASUS,16,DDR5 ,0,1000
4.3,309490.0,M1 Max Processor,41.15,Mac,APPLE,32,Unified Memory ,0,1000
4.4,64990.0,Intel Core i5 Processor,39.62,Windows,ASUS,16,DDR4 ,1000,256
4.5,85990.0,Ryzen 7 Octa Core Processor,43.94,Windows,ASUS,16,DDR4 ,0,512
4.8,222990.0,M1 Pro Processor,36.07,Mac,APPLE,16,Unified Memory ,0,1000
4.3,15990.0,Intel Celeron Dual Core Processor,35.81,DOS,ULTIMUS,4,LPDDR4 ,0,128
4.3,45900.0,Intel Core i3 Processor,39.62,Windows,DELL,8,DDR4 ,1000,256
4.3,79990.0,Intel Core i7 Processor,33.78,Windows,ASUS,16,LPDDR4X ,0,512
4.4,56990.0,Intel Core i5 Processor,35.56,Windows,ASUS,8,DDR4 ,0,512
4.2,34990.0,Ryzen 3 Dual Core Processor,39.62,Windows,DELL,8,DDR4 ,0,256
3.4,43580.0,Intel Core i3 Processor,39.62,Windows,DELL,8,DDR4 ,0,512
5.0,74990.0,Ryzen 5 Hexa Core Processor,33.78,Windows,LENOVO,16,DDR4 ,0,512
4.3,37490.0,Intel Core i3 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.2,20990.0,Intel Celeron Quad Core Processor,35.56,Windows,INFINIX,4,LPDDR4X ,0,128
